GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS872451118,9/29/2020 12:47,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,São Paulo,BR-SP,,,,,,,Santa Barbara do Rio Pardo,L10873580,P,-22.9174536,-49.2498863,7/25/1977,7:15:00,obsr17244,S65309010,Historical,P62,EBIRD,645,,,2,0,,0,1,1,,,"male, foraging over pure open campo; photographs and extensive field notes taken on foraging behavior of this species at this location over several days"
URN:CornellLabOfOrnithology:EBIRD:OBS572482967,9/23/2020 10:47,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Drive from Minacu to Brasilia,L6796209,P,-14.1660904,-47.6247454,8/8/1990,8:00:00,obsr286988,S42346377,Traveling,P22,EBIRD,120,25,,2,1,,0,1,0,,Miguel Marini,
URN:CornellLabOfOrnithology:EBIRD:OBS332914350,9/23/2020 10:44,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Distrito Federal,BR-DF,,,,,,,PN de Brasília--área geral,L7344139,H,-15.7334816,-47.9248899,10/2/1995,8:00:00,obsr177985,S24346149,Traveling,P22,EBIRD,600,8,,4,1,,0,1,0,,"With TERESA, our local guide,  we birded the NP area",Very Unusual to meet this odd flycatcher here. Mind you it was in the Cerrado part of the NP. I have seen this species in Canastra NP as well.
URN:CornellLabOfOrnithology:EBIRD:OBS343144728,5/29/2020 12:27,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,10/18/1995,7:00:00,obsr177985,S25091491,Historical,P62,EBIRD,600,8,,3,1,,0,1,0,,"Luc Fazio, Dan & Roberta Salisbury, put in an intensive bird search of the Serra de Canastra Plateau. Did See Maned Wolf  and a Giant Anteater",
URN:CornellLabOfOrnithology:EBIRD:OBS840288432,9/23/2020 10:55,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Mato Grosso do Sul,BR-MS,,,,,,,Campo Grande--CEA Polones,L7952930,H,-20.4470595,-54.5799601,10/21/2000,,obsr61384,S62480988,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,Field Guides Trip
URN:CornellLabOfOrnithology:EBIRD:OBS293657363,11/1/2020 13:31,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,10/13/2005,7:00:00,obsr534175,S21575289,Traveling,P22,EBIRD,300,4.828,,7,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS293656525,1/28/2015 1:30,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,10/12/2005,7:00:00,obsr534175,S21575226,Traveling,P22,EBIRD,420,6.437,,7,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS638173912,30:42.6,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Paraguay,PY,San Pedro,PY-2,,,,,,,Laguna Blanca,L7685348,P,-23.8159327,-56.2920785,11/11/2005,,obsr552417,S47073977,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS638199657,29:29.3,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Paraguay,PY,Itapúa,PY-7,,,,,,,Reserva Guyra Reta,L2762150,H,-26.516,-55.7668333,3/2/2006,,obsr552417,S47075899,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS961359137,7/27/2020 21:51,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,9/26/2006,5:30:00,obsr110126,S64962426,Historical,P62,EBIRD,840,,,5,1,,0,1,0,,,
