GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS885141834,9/23/2020 10:44,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Distrito Federal,BR-DF,,,,,,,PN de Brasília,L865779,H,-15.6806921,-47.9783249,8/19/1977,,obsr17244,S66332869,Historical,P62,EBIRD,,,,2,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS136240359,7/3/2020 9:54,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Chapada das Veadeiros,L1377095,P,-14.0905229,-47.670158,7/5/2003,,obsr235798,S9592817,Incidental,P20,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS142900278,8/8/2019 10:25,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,10/30/2003,,obsr30770,S10055144,Incidental,P20,EBIRD,,,,3,1,,0,1,0,,,heard
URN:CornellLabOfOrnithology:EBIRD:OBS741311515,4/19/2019 18:34,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,8/28/2006,7:00:00,obsr601274,S55144743,Historical,P62,EBIRD,,,,3,1,,0,1,0,,,heard
URN:CornellLabOfOrnithology:EBIRD:OBS485406980,8/8/2019 10:26,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,10/27/2008,,obsr457777,S35942147,Historical,P62,EBIRD_QC,,,,,1,G2335294,0,1,0,,,Lève devant nous à deux reprises dans un champ; bien identifié par le guide Nick Atanas
URN:CornellLabOfOrnithology:EBIRD:OBS482319453,8/8/2019 10:26,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,10/27/2008,,obsr626098,S35721077,Historical,P62,EBIRD_QC,,,,,1,G2335294,0,1,0,,,Lève devant nous à deux reprises dans un champ; bien identifié par le guide Nick Atanas
URN:CornellLabOfOrnithology:EBIRD:OBS208119396,9/23/2020 10:47,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Goiás,BR-GO,,,,,,,PN da Chapada dos Veadeiros,L6275001,H,-14.110869,-47.709833,10/23/2010,7:00:00,obsr176986,S14960359,Historical,P62,EBIRD,480,,,10,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS915054733,5/8/2020 11:46,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,11/9/2012,,obsr1473181,S68599569,Historical,P62,EBIRD,,,,,0,,0,1,0,,,"*monotypic*   Serra da Canastra NP, Minas Gerais - Brazil   (Calling literally right at my feet and I still couldn't see it!)<br><br><b>Heard only:</b> X<br><b>First Sighting:</b> X (Auto)<br>"
URN:CornellLabOfOrnithology:EBIRD:OBS376377017,8/8/2019 10:26,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,10/6/2015,,obsr59106,S27767611,Incidental,P20,EBIRD,,,,1,1,,0,1,0,,All day in high part.,Heard.
URN:CornellLabOfOrnithology:EBIRD:OBS442743554,11/24/2016 6:32,179,species,Dwarf Tinamou,Taoniscus nanus,,,NA,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,Sacramento  14 de nov de 2016 08:02,L5081068,P,-20.1349098,-46.9129756,11/13/2016,9:23:00,obsr623443,S32532413,Traveling,P22,EBIRD_BRA,120,50,,4,1,G2022774,0,1,0,,,
