"","X","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING_EVENT_IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","LONGITUDE","LATITUDE"
"1",1,"URN:CornellLabOfOrnithology:EBIRD:OBS318536888","8/10/2015 10:28",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"Sacramento, MG","L3634331","P","5/9/2015","6:30:00","obsr552720","S23380111","Historical","P62","EBIRD",450,70,NA,1,1,NA,0,1,0,NA,NA,NA,6567531.91690849,-3413415.52161524
"2",2,"URN:CornellLabOfOrnithology:EBIRD:OBS330844157","2/5/2016 12:52",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H","7/4/2015","8:00:00","obsr397143","S24194366","Traveling","P22","EBIRD",510,50,NA,3,1,"G1340485",0,1,0,NA,"Driving the entire road from the main entrance to the Casca d'Anta waterfall","At Nascente do Rio Sao Francisco",6633241.07974545,-3462178.70232713
"3",3,"URN:CornellLabOfOrnithology:EBIRD:OBS356368989","2/7/2019 20:43",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,"Male, Adult (1)","Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Chapada dos Veadeiros--Bona Espero","L2934194","H","11/13/2015","17:00:00","obsr280745","S26067287","Traveling","P22","EBIRD",45,1,NA,4,1,NA,0,1,0,NA,NA,NA,6822653.60919982,-2439950.14921581
"4",4,"URN:CornellLabOfOrnithology:EBIRD:OBS317790338","8/7/2018 14:23",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Estrada para a Fazenda Firmeza","L3599845","H","5/9/2015","14:20:00","obsr522970","S23339790","Traveling","P22","EBIRD",120,25,NA,2,1,NA,0,1,0,NA,"rodovia go 118 e estrada vicinal com campos de altitude, cerrado e campo úmido",NA,6835674.75465223,-2472386.99718929
"5",5,"URN:CornellLabOfOrnithology:EBIRD:OBS894367289","4/15/2020 9:55",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"serra da Canastra","L11145103","P","3/3/2015","7:00:00","obsr623287","S67137181","Traveling","P22","EBIRD_BRA",480,80,NA,5,1,NA,0,1,0,NA,NA,NA,6612366.50568716,-3439127.6475903
"6",6,"URN:CornellLabOfOrnithology:EBIRD:OBS330780453","7/9/2015 14:51",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H","7/4/2015","8:00:00","obsr239797","S24189502","Traveling","P22","EBIRD",510,50,NA,3,1,"G1340485",0,1,0,NA,"Driving the entire road from the main entrance to the Casca d'Anta waterfall","At Nascente do Rio Sao Francisco",6633241.07974545,-3462178.70232713
"7",7,"URN:CornellLabOfOrnithology:EBIRD:OBS423322003","2/7/2019 20:44",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Chapada dos Veadeiros--Fazenda dos Anões","L2236325","H","8/1/2016","17:30:00","obsr518938","S31092017","Traveling","P22","EBIRD",30,1,NA,4,1,"G1883033",0,1,0,NA,"<br />Submitted from eBird for iOS, version 1.2.5 Build 73",NA,6832842.6785837,-2475446.37871214
"8",8,"URN:CornellLabOfOrnithology:EBIRD:OBS432186437","7/23/2020 15:28",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Estrada para a Fazenda Firmeza","L3599845","H","9/25/2016","10:00:00","obsr522970","S31755898","Traveling","P22","EBIRD",60,5,NA,3,1,NA,0,1,0,NA,NA,NA,6835674.75465223,-2472386.99718929
"9",9,"URN:CornellLabOfOrnithology:EBIRD:OBS814000567","10/7/2019 17:59",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"Cachoeira da Casca D'Anta--Parte alta","L8088074","H","9/1/2016","6:10:00","obsr1457558","S60435002","Traveling","P22","EBIRD",800,20,NA,4,1,NA,0,1,0,NA,NA,NA,6621262.97225797,-3471155.66001021
"10",10,"URN:CornellLabOfOrnithology:EBIRD:OBS435615113","10/20/2020 8:00",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"-20.2919x-46.5191 - Oct 10, 2016, 09:47","L4983131","P","10/10/2016","9:47:00","obsr553158","S31998883","Incidental","P20","EBIRD",NA,NA,NA,1,0,NA,1,1,0,NA,NA,"Macho adulto. Foto",6622075.08612911,-3470538.36875095
"11",11,"URN:CornellLabOfOrnithology:EBIRD:OBS418803734","8/8/2019 10:25",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Parque Nacional das Emas","L567986","H","7/18/2016","6:15:00","obsr431534","S30753522","Traveling","P22","EBIRD",660,20,NA,4,1,"G1852565",0,1,0,NA,NA,NA,5843668.96033149,-2822411.23019322
"12",12,"URN:CornellLabOfOrnithology:EBIRD:OBS418796413","8/8/2019 10:25",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Parque Nacional das Emas","L567986","H","7/18/2016","6:15:00","obsr360030","S30752962","Traveling","P22","EBIRD",660,20,NA,4,1,"G1852565",0,1,0,NA,NA,NA,5843668.96033149,-2822411.23019322
"13",13,"URN:CornellLabOfOrnithology:EBIRD:OBS447898808","9/28/2019 22:15",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","São Paulo","BR-SP",NA,NA,NA,NA,NA,NA,"Estação Ecológica de Itirapina","L943006","H","10/28/2016","8:14:00","obsr648310","S32922032","Historical","P62","EBIRD",360,NA,NA,2,1,NA,1,1,1,NA,NA,NA,6298735.63171398,-3668552.66849048
"14",14,"URN:CornellLabOfOrnithology:EBIRD:OBS421338436","2/7/2019 20:44",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Chapada dos Veadeiros--Fazenda dos Anões","L2236325","H","8/1/2016","17:30:00","obsr553166","S30943815","Traveling","P22","EBIRD",30,1,NA,4,1,"G1883033",0,1,0,NA,NA,NA,6832842.6785837,-2475446.37871214
"15",15,"URN:CornellLabOfOrnithology:EBIRD:OBS431264524","1/29/2019 4:33",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"São Roque de Minas--Hotel Chapadão da Canastra","L3110356","H","7/20/2016","7:03:00","obsr622695","S31690369","Historical","P62","EBIRD",600,50,1,3,1,NA,0,1,0,NA,NA,NA,6646817.55581315,-3473087.88554407
